date,Tweet count,Retweet count,Like count,Avg VADER Neg,Avg VADER Neu,Avg VADER Pos,Avg VADER Comp,Avg VADER Score,FinBert Pos count,FinBert Neu count,FinBert Neg count,FinBert proportion Pos,FinBert proportion Neu,FinBert proportion Neg
14/2/2021,358,358,2255,9.794,319.738,28.468,79.5155,-100108.2481,19,332,7,0.053072626,0.927374302,0.019553073
15/2/2021,354,231,1297,12.225,310.629,31.143,86.4639,855129.516,16,334,4,0.04519774,0.943502825,0.011299435
16/2/2021,370,220,2194,11.085,325.01,33.895,99.2651,361722.8918,23,338,9,0.062162162,0.913513514,0.024324324
17/2/2021,480,384,1677,17.768,421.85,40.374,101.2177,359047.6079,23,448,9,0.047916667,0.933333333,0.01875
18/2/2021,395,163,769,11.553,348.895,34.558,104.9116,1812184.151,13,370,12,0.032911392,0.936708861,0.030379747
19/2/2021,516,778,3368,19.97,448.202,47.808,128.0221,2380298.521,21,487,8,0.040697674,0.94379845,0.015503876
20/2/2021,512,344,2488,17.358,447.099,47.528,138.3178,565946.8254,24,480,8,0.046875,0.9375,0.015625
21/2/2021,494,441,2727,16.847,433.29,43.853,124.2799,393634.1827,26,458,10,0.052631579,0.927125506,0.020242915
22/2/2021,502,614,3180,17.7,439.209,45.075,130.5395,290164.6577,17,476,9,0.033864542,0.948207171,0.017928287
23/2/2021,829,391,1935,25.212,705.835,97.951,347.1882,742323.3114,18,800,11,0.021712907,0.965018094,0.013268999
24/2/2021,534,275,2207,23.986,457.792,52.244,119.4309,1961262.336,30,500,4,0.056179775,0.936329588,0.007490637
25/2/2021,401,417,1292,15.289,349.871,35.85,100.4653,576174.6924,17,371,13,0.042394015,0.925187032,0.032418953
26/2/2021,431,271,1973,18.84,376.862,35.307,72.6738,-1228520.314,27,388,16,0.062645012,0.900232019,0.03712297
27/2/2021,404,341,1878,10.383,356.796,36.835,126.4979,908085.1239,21,374,9,0.051980198,0.925742574,0.022277228
28/2/2021,441,251,1935,21.074,385.901,34.034,59.0389,2221105.429,20,401,20,0.045351474,0.909297052,0.045351474
1/3/2021,422,395,2022,18.11,368.055,35.863,77.9114,2108664.994,21,395,6,0.049763033,0.936018957,0.014218009
2/3/2021,333,177,1047,11.537,294.522,26.94,76.2173,2359363.729,19,311,3,0.057057057,0.933933934,0.009009009
3/3/2021,367,331,1962,12.069,323.61,31.321,84.9178,2857955.556,21,339,7,0.057220708,0.923705722,0.019073569
4/3/2021,323,856,4569,12.981,283.502,26.513,60.9009,3355057.608,20,295,8,0.061919505,0.913312693,0.024767802
5/3/2021,310,196,1376,10.157,272.515,27.332,77.7533,142318.3516,20,281,9,0.064516129,0.906451613,0.029032258
6/3/2021,307,542,2382,9.549,273.374,24.078,65.6771,-322345.266,6,296,5,0.019543974,0.964169381,0.016286645
7/3/2021,291,2069,11079,7.956,257.649,25.389,72.6842,-1764894.756,19,268,4,0.065292096,0.920962199,0.013745704
8/3/2021,311,200,1565,9.736,273.87,27.396,79.8763,263902.6102,31,275,5,0.099678457,0.884244373,0.01607717
9/3/2021,381,260,1737,9.647,338.162,33.189,109.0873,1333605.571,27,352,2,0.070866142,0.923884514,0.005249344
10/3/2021,344,207,1352,8.562,306.447,28.993,91.3682,-1648050.143,26,314,4,0.075581395,0.912790698,0.011627907
11/3/2021,424,440,2508,10.541,371.58,41.883,136.5133,647561.1621,24,396,4,0.056603774,0.933962264,0.009433962
12/3/2021,328,137,878,9.98,292.217,25.807,73.3985,365130.1386,18,305,5,0.054878049,0.929878049,0.015243902
13/3/2021,375,555,2582,11.303,335.988,27.711,75.9151,435642.1124,13,356,6,0.034666667,0.949333333,0.016
14/3/2021,423,807,2405,10.905,370.236,41.855,142.914,2093060.307,26,391,6,0.061465721,0.924349882,0.014184397
15/3/2021,500,202,1308,12.737,431.605,55.661,195.2915,206130.1221,50,441,9,0.1,0.882,0.018
16/3/2021,440,164,1433,10.462,380.375,49.173,176.8094,749893.4965,33,403,4,0.075,0.915909091,0.009090909
17/3/2021,358,260,1792,10.689,312.01,35.3,108.7208,1199349.016,20,335,3,0.055865922,0.93575419,0.008379888
18/3/2021,322,978,9640,10.112,284.271,27.622,77.8335,4479918.735,11,304,7,0.034161491,0.944099379,0.02173913
19/3/2021,324,340,2101,9.321,286.967,27.707,82.2985,1599037.393,5,315,4,0.015432099,0.972222222,0.012345679
20/3/2021,322,91,622,9.824,284.143,28.03,85.7541,2655817.798,14,308,0,0.043478261,0.956521739,0
21/3/2021,317,161,1108,8.666,283.678,24.658,73.958,759809.6056,22,289,6,0.069400631,0.911671924,0.018927445
22/3/2021,329,410,2003,10.419,291.413,27.165,76.9691,2085128.631,16,306,7,0.048632219,0.930091185,0.021276596
23/3/2021,349,134,883,11.276,308.78,28.967,72.8955,2855014.329,19,321,9,0.054441261,0.919770774,0.025787966
24/3/2021,587,340,2773,27.613,507.261,52.12,110.5455,1622925.915,33,539,15,0.056218058,0.918228279,0.025553663
25/3/2021,473,418,2998,22.848,416.294,33.86,50.7573,-4808229.56,15,450,8,0.031712474,0.951374207,0.016913319
26/3/2021,361,203,1191,14.19,318.484,28.324,56.3113,-2898746.699,18,340,3,0.049861496,0.941828255,0.008310249
27/3/2021,315,146,857,15.738,276.237,23.025,29.1931,442501.0831,11,301,3,0.034920635,0.955555556,0.00952381
28/3/2021,268,144,789,10.469,236.598,20.929,41.467,100838.1155,10,254,4,0.037313433,0.947761194,0.014925373
29/3/2021,280,160,1889,9.903,247.766,22.323,57.3897,3888885.771,9,266,5,0.032142857,0.95,0.017857143
30/3/2021,306,574,1957,8.089,273.192,24.718,75.3567,4329024.871,14,287,5,0.045751634,0.937908497,0.016339869
31/3/2021,315,254,1275,10.245,274.276,30.474,72.0261,5848233.182,18,290,7,0.057142857,0.920634921,0.022222222
1/4/2021,278,218,1463,7.714,246.877,23.406,68.892,3343669.643,15,258,5,0.053956835,0.928057554,0.017985612
2/4/2021,255,228,1680,6.855,226.698,21.449,65.0841,1911289.339,11,242,2,0.043137255,0.949019608,0.007843137
3/4/2021,243,169,1255,6.506,217.703,18.785,56.4133,666036.6808,11,229,3,0.04526749,0.942386831,0.012345679
4/4/2021,222,132,706,5.222,199.764,17.011,54.878,780681.0967,11,209,2,0.04954955,0.941441441,0.009009009
5/4/2021,231,427,2283,5.092,206.618,19.291,67.5059,457594.6859,18,211,2,0.077922078,0.913419913,0.008658009
6/4/2021,275,219,1268,9.895,244.958,20.146,45.8589,427357.4659,6,265,4,0.021818182,0.963636364,0.014545455
7/4/2021,434,1036,6104,11.554,352.887,69.559,176.873,3033422.061,159,266,9,0.366359447,0.612903226,0.020737327
8/4/2021,286,239,1079,9.687,251.238,25.07,63.2944,3438457.606,24,256,6,0.083916084,0.895104895,0.020979021
9/4/2021,251,186,895,10.002,221.656,19.338,40.3028,128725.1419,9,234,8,0.035856574,0.932270916,0.03187251
10/4/2021,264,132,1070,8.253,239.231,16.519,35.2374,138364.4747,8,254,2,0.03030303,0.962121212,0.007575758
11/4/2021,265,437,1982,7.525,236.869,20.599,46.8815,-19880.7575,20,241,4,0.075471698,0.909433962,0.01509434
